Release	Date	%+-YD	%+-LW	Days	google trends	Avg TD	Avg YD	Weekly	Weekly %+-YD	Weekly %+-LW	Avg Theatre	Avg per Theatre Avg	Avg To Date	Y	Week + 1
Guest Artist	2020-09-07	0.0	0.0	60.0	0.0091728	1.7142857142857142	0.0	144.0	0.0	0.0	0.14285714285714285	20.571428571428573	1367.5714285714287	2020-09-14	0.0
In the Life of Music	2020-09-07	0.0	0.0	25.0	0.042432	1.4285714285714286	0.0	253.0	0.0	0.0	0.14285714285714285	36.142857142857146	683.4285714285714	2020-09-14	0.0
The Eight Hundred	2020-09-07	-52.80000000000001	-338.6	98.0	1.34	7.142857142857142	7.0	67253.0	-52.80000000000001	-338.6	89.42857142857143	110.71428571428572	291288.85714285716	2020-09-14	13811.0
The Burnt Orange Heresy	2020-09-07	0.0	0.0	186.0	0.05749213483146068	1.2857142857142858	0.0	430.0	0.0	0.0	1.0	8.714285714285714	20185.85714285714	2020-09-14	0.0
Unhinged	2020-09-07	89.4	9.900000000000006	196.0	17.222222222222225	2.0	2.0	2403341.0	89.4	9.900000000000006	2386.142857142857	143.71428571428572	12633840.285714285	2020-09-14	1852498.0
The Broken Hearts Gallery	2020-09-07	-45.2	0.0	6.0	3.1000000000000005	1.2857142857142858	0.8571428571428571	1126401.0	-45.2	0.0	946.7142857142856	72.57142857142857	350772.71428571426	2020-09-14	1282815.0
Words on Bathroom Walls	2020-09-07	55.9	-51.20000000000001	147.0	2.23	5.142857142857143	5.142857142857143	407307.0	55.9	-51.20000000000001	1097.2857142857142	54.0	1752856.1428571432	2020-09-14	246859.0
Killer Raccoons! 2! Dark Christmas in the Dark!	2020-09-07	0.0	0.0	39.0	0.0	1.5714285714285714	0.0	167.0	0.0	0.0	0.14285714285714285	23.857142857142854	1730.857142857143	2020-09-14	0.0
She Dies Tomorrow	2020-09-07	-40.0	0.0	132.0	0.147264	4.0	2.571428571428572	26914.0	-40.0	0.0	1.2857142857142858	1281.4285714285713	108360.85714285713	2020-09-14	39179.0
The SpongeBob Movie: Sponge on the Run	2020-09-07	89.9	-107.6	90.0	0.23	2.4285714285714284	1.8571428571428568	225829.0	89.9	-107.6	114.42857142857143	120.42857142857143	1662609.8571428568	2020-09-14	272658.0
Rent-A-Pal	2020-09-07	-39.5	0.0	6.0	0.054163199999999995	4.714285714285714	3.1428571428571432	19650.0	-39.5	0.0	24.0	49.85714285714285	6137.0	2020-09-14	4498.0
My Brothers' Crossing	2020-09-07	-23.499999999999986	-141.2	56.0	0.06988799999999999	9.571428571428571	9.142857142857142	19994.0	-23.499999999999986	-141.2	71.85714285714286	39.42857142857143	30543.714285714286	2020-09-14	9664.0
Tulsa	2020-09-07	186.0	50.90000000000001	147.0	61.41345427059717	8.0	7.857142857142858	42650.0	186.0	50.90000000000001	86.7142857142857	68.14285714285714	222584.1428571429	2020-09-14	48372.0
The Secrets We Keep	2020-09-14	130.5	0.0	15.0	1.54	6.0	4.714285714285714	112273.0	130.5	0.0	201.85714285714286	26.42857142857143	41264.71428571428	2020-09-21	69349.0
The Personal History of David Copperfield	2020-09-14	-40.7	-223.1	126.0	0.8500000000000001	5.428571428571429	4.714285714285714	220681.0	-40.7	-223.1	947.1428571428572	29.0	1304015.2857142857	2020-09-21	130798.0
She Dies Tomorrow	2020-09-14	157.29999999999995	-2.799999999999999	343.0	0.238368	10.714285714285714	10.142857142857142	39179.0	157.29999999999995	-2.799999999999999	3.0	1865.2857142857144	278459.71428571426	2020-09-21	26350.0
The Eight Hundred	2020-09-14	-27.00000000000001	-241.6	78.0	0.6900000000000001	4.857142857142857	4.857142857142857	13811.0	-27.00000000000001	-241.6	28.857142857142854	38.42857142857143	186482.57142857145	2020-09-21	0.0
The New Mutants	2020-09-14	-35.3	-183.3	126.0	9.826152683295543	1.0	0.8571428571428571	2220235.0	-35.3	-183.3	2238.0	123.28571428571428	14059477.857142854	2020-09-21	1742824.0
The Nest	2020-09-14	-23.6	0.0	6.0	20.786092214663654	4.571428571428571	3.1428571428571432	65540.0	-23.6	0.0	129.0	31.0	19683.14285714286	2020-09-21	23666.0
The Broken Hearts Gallery	2020-09-14	68.19999999999999	-83.5	49.0	4.666666666666666	3.2857142857142856	3.1428571428571432	1282815.0	68.19999999999999	-83.5	2214.1428571428573	82.0	1744167.4285714286	2020-09-21	860404.0
Infidel	2020-09-14	-37.6	0.0	6.0	10.555555555555557	0.8571428571428571	0.5714285714285714	1384296.0	-37.6	0.0	738.8571428571429	114.57142857142857	423786.4285714286	2020-09-21	1306439.0
Rent-A-Pal	2020-09-14	-53.89999999999999	0.0	22.0	0.0563472	6.571428571428571	6.7142857142857135	4498.0	-53.89999999999999	0.0	32.0	11.285714285714285	12789.857142857143	2020-09-21	0.0
My Brothers' Crossing	2020-09-14	1.7000000000000028	-350.7999999999999	105.0	0.02496	13.142857142857142	12.571428571428573	9664.0	1.7000000000000028	-350.7999999999999	64.14285714285714	22.142857142857146	44577.714285714275	2020-09-21	4915.0
Foster Boy	2020-09-14	-29.0	0.0	6.0	0.034944	6.7142857142857135	4.571428571428571	5324.0	-29.0	0.0	0.42857142857142855	760.5714285714287	1652.571428571429	2020-09-21	12234.0
The SpongeBob Movie: Sponge on the Run	2020-09-14	228.1	-21.7	245.0	0.24000000000000005	6.0	5.857142857142858	272658.0	228.1	-21.7	264.42857142857144	148.0	4075803.857142857	2020-09-21	198932.0
No Escape	2020-09-14	-55.8	0.0	6.0	2.844444444444445	4.285714285714286	2.7142857142857144	79182.0	-55.8	0.0	19.285714285714285	251.14285714285717	25240.857142857138	2020-09-21	48024.0
The Way I See It	2020-09-14	11.700000000000005	0.0	6.0	1.031746031746032	5.857142857142858	4.0	25150.0	11.700000000000005	0.0	53.14285714285714	28.714285714285715	7229.285714285716	2020-09-21	19365.0
Bill & Ted Face the Music	2020-09-14	43.1	-284.2	147.0	1.04	4.714285714285714	4.428571428571429	310174.0	43.1	-284.2	721.2857142857142	65.42857142857143	2942743.2857142864	2020-09-21	152400.0
Tulsa	2020-09-14	488.6	60.50000000000001	196.0	70.8616780045352	10.714285714285714	10.285714285714286	48372.0	488.6	60.50000000000001	111.0	55.28571428571429	262089.42857142855	2020-09-21	51006.0
Words on Bathroom Walls	2020-09-14	36.89999999999999	-240.90000000000003	196.0	1.5	6.142857142857142	5.857142857142858	246859.0	36.89999999999999	-240.90000000000003	914.7142857142856	40.0	2063266.8571428568	2020-09-21	154109.0
Unhinged	2020-09-14	133.5	-143.1	245.0	13.253968253968255	2.142857142857143	2.0	1852498.0	133.5	-143.1	2347.428571428572	112.71428571428572	14669113.714285715	2020-09-21	1461974.0
The Last Shift	2020-09-21	-47.2	0.0	6.0	1.44	3.0	2.0	246491.0	-47.2	0.0	373.28571428571433	40.142857142857146	76586.28571428571	2020-09-28	258907.0
Kajillionaire	2020-09-21	-48.3	0.0	6.0	2.4142857142857137	3.4285714285714284	2.2857142857142856	215675.0	-48.3	0.0	226.7142857142857	58.0	67170.71428571429	2020-09-28	193730.0
Foster Boy	2020-09-21	787.7	270.6	49.0	0.325728	17.285714285714285	16.428571428571427	12234.0	787.7	270.6	7.0	412.57142857142856	10257.857142857143	2020-09-28	2305.0
Ava	2020-09-21	-48.3	0.0	6.0	52.987976404765824	4.0	2.571428571428572	170349.0	-48.3	0.0	95.14285714285714	109.42857142857143	53164.571428571435	2020-09-28	165711.0
Infidel	2020-09-21	31.8	-132.7	49.0	11.904761904761909	2.7142857142857144	2.4285714285714284	1306439.0	31.8	-132.7	1793.0	102.42857142857143	2040544.8571428568	2020-09-28	741680.0
On the Basis of Sex2020 Re-release	2020-09-21	-0.3000000000000007	0.0	6.0	0.0	5.571428571428571	3.8571428571428568	56210.0	-0.3000000000000007	0.0	355.28571428571433	9.571428571428571	16299.285714285714	2020-09-28	25940.0
The New Mutants	2020-09-21	100.59999999999998	-161.5	196.0	8.125472411186701	1.2857142857142858	1.2857142857142858	1742824.0	100.59999999999998	-161.5	2426.714285714286	104.42857142857143	18529402.57142857	2020-09-28	1471973.0
Words on Bathroom Walls	2020-09-21	-2.8000000000000043	-238.0	245.0	1.06	8.428571428571429	8.0	154109.0	-2.8000000000000043	-238.0	664.1428571428571	36.142857142857146	2271162.714285714	2020-09-28	99931.0
The Nest	2020-09-21	-12.700000000000005	0.0	22.0	21.352985638699934	5.7142857142857135	5.857142857142858	23666.0	-12.700000000000005	0.0	172.0	11.0	45433.714285714275	2020-09-28	0.0
Bill & Ted Face the Music	2020-09-21	-39.2	-320.3	196.0	1.01	8.285714285714286	7.428571428571429	152400.0	-39.2	-320.3	498.1428571428572	47.85714285714285	3201141.1428571427	2020-09-28	65935.0
Tulsa	2020-09-21	158.90000000000003	257.20000000000005	245.0	59.33484504913079	13.714285714285715	13.142857142857142	51006.0	158.90000000000003	257.20000000000005	143.14285714285714	49.0	313861.0	2020-09-28	37678.0
The Personal History of David Copperfield	2020-09-21	-36.8	-254.1	196.0	0.65	9.428571428571429	8.285714285714286	130798.0	-36.8	-254.1	794.8571428571429	26.0	1727196.4285714286	2020-09-28	60467.0
Shortcut	2020-09-21	-31.5	0.0	6.0	27.58881330309903	2.571428571428572	1.7142857142857142	279125.0	-31.5	0.0	310.7142857142857	55.0	85032.14285714286	2020-09-28	376070.0
Star Wars: Episode V - The Empire Strikes Back2020 Re-release	2020-09-21	-40.1	0.0	237.0	0.0	1.0	0.5714285714285714	908000.0	-40.1	0.0	898.7142857142858	61.714285714285715	713428.5714285716	2020-09-28	335000.0
